count,date,title,description,org_link,link
530,2024-01-29 08:41:00,SM·하이브·JYP·YG 비중만 95%…'ACE KPOP포커스' ETF 상장,아울러 &quot;올 상반기에는 <b>신인 그룹</b> 데뷔가 다수 예정돼 있어 엔터테인먼트 산업 관련 투자자 관심이 이어질 것&quot;이라며 &quot;엔터테인먼트 산업 내 핵심 4개사에 높은 비중으로 집중 투자하는 'ACE KPOP포커스'를 활용해... ,http://news.mt.co.kr/mtview.php?no=2024012908344383241,https://n.news.naver.com/mnews/article/008/0004991747?sid=101
531,2024-01-29 08:40:00,"한투운용, 엔터주 집중 투자 ‘KPOP포커스 ETF’ 출시",남용수 한국투자신탁운용 ETF운용본부장은 “최근 주가 조정이 이뤄진 일부 엔터테인먼트 기업의 대주주들이 자사주를 매입하며 성장성에 자신감을 드러내고 있다”며 “특히 올 상반기에는 <b>신인 그룹</b> 데뷔가... ,https://www.ebn.co.kr/news/view/1610591/?sc=Naver,https://www.ebn.co.kr/news/view/1610591/?sc=Naver
532,2024-01-29 08:40:00,"한투운용, 엔터주 집중하는 'ACE KPOP포커스' ETF",이어 &quot;특히 올 상반기에는 <b>신인 그룹</b> 데뷔가 다수 예정돼 있어 엔터테인먼트 산업 관련 투자자들의 관심이 이어질 것”이라며 “엔터테인먼트 산업 내 핵심 4개사에 높은 비중으로 집중적으로 투자하는 ACE... ,https://view.asiae.co.kr/article/2024012908404792038,https://n.news.naver.com/mnews/article/277/0005372795?sid=101
533,2024-01-29 08:38:00,"'BTS' 지킨 하이브, 나홀로 성장 굳히나...SM·JYP·YG 성장 온도차",여기에 2024년 3개 이상의 <b>신인 그룹</b>(투어스·아일릿·캣츠아이) 데뷔가 예정돼 있어 아티스트 라인업은 더욱 풍성해질 전망이다. YG는 지난해 대표 아티스트인 블랙핑크의 <b>그룹</b> 계약은 성공했지만 멤버별 개별 계약이... ,https://www.news2day.co.kr/article/20240129500006,https://www.news2day.co.kr/article/20240129500006
534,2024-01-29 07:58:00,"버벌진트, 'DSP <b>신인</b>' 영파씨 신곡 피처링(공식)",이렇듯 영파씨는 데뷔 후 앨범 발매 기간을 짧게 가져가는 기존 <b>신인 그룹</b>들의 프로모션 형태를 따라가기보다는 리믹스 버전의 신곡을 발매하며 팀의 아이덴티티를 더욱 각인시킨다는 계획이다. 기발매된... ,http://www.joynews24.com/view/1681282,http://www.joynews24.com/view/1681282
535,2024-01-29 07:17:00,"영파씨, 틀 깨는 프로모션..2월 4일 새 싱글 깜짝 공개",이렇듯 영파씨는 데뷔 후 앨범 발매 기간을 짧게 가져가는 기존 <b>신인 그룹</b>들의 프로모션 형태를 따라가기보다는 리믹스 버전의 신곡을 발매하며 팀의 아이덴티티를 더욱 각인시킨다는 계획이다.... ,https://www.starnewskorea.com/stview.php?no=2024012907145185765,https://n.news.naver.com/mnews/article/108/0003211774?sid=106
536,2024-01-29 07:15:00,"영파씨, 2월 4일 신곡 발매…버벌진트 등 지원사격 [공식]",이렇듯 영파씨는 데뷔 후 앨범 발매 기간을 짧게 가져가는 기존 <b>신인 그룹</b>들의 프로모션 형태를 따라가기보다는 리믹스 버전의 신곡을 발매하며 팀의 아이덴티티를 더욱 각인시킨다는 계획이다.,https://www.newsen.com/news_view.php?uid=202401290712432410,https://n.news.naver.com/mnews/article/609/0000817826?sid=106
537,2024-01-29 07:13:00,"영파씨, 내달 4일 신곡 'YOUNG POSSE UP' 발매…버벌진트 포함 3명의 래퍼 지...",이렇듯 영파씨는 데뷔 후 앨범 발매 기간을 짧게 가져가는 기존 <b>신인 그룹</b>들의 프로모션 형태를 따라가기보다는 리믹스 버전의 신곡을 발매하며 팀의 아이덴티티를 더욱 각인시킨다는 계획이다.,http://sports.chosun.com/news/ntype.htm?id=202401290100192070026202&servicedate=20240129,https://n.news.naver.com/mnews/article/076/0004103441?sid=106
538,2024-01-29 05:15:00,라이즈·투어스·베이비몬스터…동생<b>그룹</b> 타이틀 부담 없어요,특히 대형 기획사들이 수년간 준비해 온 <b>신인</b> 아이돌 <b>그룹</b>들을 지난해부터 순차적으로 선보이면서 업계의 스포트라이트는 자연스럽게 따끈따끈한 ‘5세대’ <b>그룹</b>을 향하고 있다. 이들은 내실을 겉으로 꺼내보이기도... ,https://isplus.com/article/view/isp202401230002,https://n.news.naver.com/mnews/article/241/0003326994?sid=106
539,2024-01-29 00:31:00,"싸이커스, 영국 런던 공연 시작으로 유럽투어 [연예뉴스 HOT]",<b>신인</b> 아이돌 <b>그룹</b> 싸이커스가 유럽투어를 연다. 28일 소속사 KQ엔터테인먼트에 따르면 싸이커스는 29일(한국시간) 영국 런던 O2 셰퍼즈 부시 엠파이어에서 ‘트리키 하우스: 퍼스트 인카운터 인 유럽’ 무대에 오른다. 이... ,https://sports.donga.com/article/all/20240128/123268533/1,https://n.news.naver.com/mnews/article/382/0001103110?sid=106
540,2024-01-28 21:53:00,"싸이커스, 英 런던에서 유럽투어 신호탄..막강한 신예 저력","이는 데뷔한 지 1년밖에 안 된 <b>신인 그룹</b>으로서는 이례적인 행보다. 한편, 싸이커스는 28일 영국 런던 'O2 셰퍼즈 부시 엠파이어'에서 ''트리키 하우스 : 퍼스트 인카운터' 인 유럽'의 신호탄을 쏘아 올린다.",https://www.starnewskorea.com/stview.php?no=2024012821291387465,https://n.news.naver.com/mnews/article/108/0003211732?sid=106
